id,expected_verdict,expected_domain,claim_text,review_focus,human_note,contested_span
positive-mostly-accurate-01-ainu-dance-filmed-1919,ほぼ正確,一般,アイヌの踊りが1919年に撮影され、保存されていたカラー映像が2023年に拡散した。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,アイヌの踊りが1919年に撮影され、保存されていたカラー映像が2023年に拡散した。
positive-mostly-accurate-02-real-image-of-jovial-swedish-people-despite-train-station-flooding-caused-by-typhoon,ほぼ正確,一般,イチローは28年のプロ野球選手生活の中でシーズン200安打以上を11回記録した。日本より試合数の多いメージャーリーグであったからこそ、11回もそれをメジャーリーグで記録することができたと考えられる。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,イチローは28年のプロ野球選手生活の中でシーズン200安打以上を11回記録した。日本より試合数の多いメージャーリーグであったからこそ、11回もそれをメジャーリーグで記録することができたと考えられる。
positive-mostly-accurate-03-almost-accurate-claim-iaea-not-verifying-filtration-performance-of-contaminated-water,ほぼ正確,一般,20世紀末に活躍した三大テノールとは、ルチアーノ・パヴァロッティ、プラシド・ドミンゴ、ホセ・カレーライスの3名である。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,20世紀末に活躍した三大テノールとは、ルチアーノ・パヴァロッティ、プラシド・ドミンゴ、ホセ・カレーライスの3名である。
positive-mostly-accurate-04-infact200912,ほぼ正確,一般,織田信長は本能寺の変で明智光秀に殺された。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,織田信長は本能寺の変で明智光秀に殺された。
positive-mostly-accurate-05-infact211023-3,ほぼ正確,一般,天空の城ラピュタはスタジオジブリの初制作アニメ映画であり、1987年に公開された。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,天空の城ラピュタはスタジオジブリの初制作アニメ映画であり、1987年に公開された。
positive-mostly-accurate-06-jid211024-1,ほぼ正確,一般,大政奉還で江戸幕府は終焉を迎え、明治時代に移った。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,大政奉還で江戸幕府は終焉を迎え、明治時代に移った。
positive-mostly-accurate-07-jid211029-01,ほぼ正確,金融,マサチューセッツ州の有権者は、100万ドルを超える所得に対する4％の追加税を承認し、これにより2024年度に15億ドルの歳入が得られた。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,マサチューセッツ州の有権者は、100万ドルを超える所得に対する4％の追加税を承認し、これにより2024年度に15億ドルの歳入が得られた。
positive-mostly-accurate-08-asahi211116-2,ほぼ正確,一般,ギザのピラミッドを建設した古代エジプトの労働者たちは、毎日4～5リットルのビールを配給されていた。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,ギザのピラミッドを建設した古代エジプトの労働者たちは、毎日4～5リットルのビールを配給されていた。
positive-mostly-accurate-09-infact211217-1,ほぼ正確,一般,玉置浩二は、日本のシンガーソングライター、ロックバンド完全地帯のボーカリストで、北海道旭川市出身である。,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,玉置浩二は、日本のシンガーソングライター、ロックバンド完全地帯のボーカリストで、北海道旭川市出身である。
positive-mostly-accurate-10-infact220704,ほぼ正確,金融,岸田首相の発言「今年の春闘の賃上げ率2.08%は、過去20年で2番目に高い」,大筋は合うが、条件・時点・表現の丸め過ぎがないかを見る。,短文claim評価用に、大筋は正しいが細部に注意が必要な主張を抜き出したケースです。,岸田首相の発言「今年の春闘の賃上げ率2.08%は、過去20年で2番目に高い」
