id,expected_verdict,analysis_text,expected_domain,predicted_verdict,attention_score
positive-accurate-01-nhk-broadcasts-200-human-sacrifices,正確,NHKが「集団生贄200人」という歌詞の歌を放映した,一般,正確,20
positive-accurate-02-why-not-in-the-news-shizuoka-flood-images-are-real,正確,日本人最初のメジャーリーガーは野茂英雄ではない。,一般,正確,20
positive-accurate-03-aaa-com-article-accurate-koizumi-warns-typhoon,正確,世界最古の企業は日本にある。,一般,正確,20
positive-accurate-04-wasegg210726-2,正確,日本の研究者らが、歯を再生させる可能性のある薬剤を開発した。,医療,正確,20
positive-accurate-05-jid211030-2,正確,アベノマスクには全部で500億円ほどの税金が使われた。,医療,正確,20
positive-accurate-06-wasegg220314-8,正確,ド・ドドンパ・ジェットコースターは骨折事故発生を受け、2021年8月から営業を休止し、2024年3月に営業を終了した。,一般,正確,20
positive-accurate-07-infact220706,正確,十三代目市川團十郎は初代市川團十郎の男系子孫ではない。,一般,正確,20
positive-accurate-08-jid220707,正確,史上最短の戦争は1時間も続かなかった。,一般,正確,20
positive-accurate-09-infact220821,正確,クリーブランド・インディアンスは、クリーブランド・ガーディアンズに名称変更した。,一般,正確,20
positive-accurate-10-wasegg220709-2,正確,パラオは750万ドルの合意に基づき、米国から強制送還された最大75人を受け入れることに同意した。,政治,正確,20
positive-accurate-11-litmus221003,正確,金星では「1日」が「1年」より長い。,一般,正確,20
positive-accurate-12-mainichi230505,正確,日本では子供は減っているが、大学は増えている。,政治,正確,5
positive-accurate-13-litmus230706,正確,住民税非課税世帯の４分の３は高齢者である。,政治,ほぼ正確,36
positive-accurate-14-post-23899,正確,大谷翔平は、メジャーリーグ史上初めてシーズン50本塁打50盗塁を達成した。,一般,正確,20
positive-accurate-15-japan-experimental-forestry,正確,日本には円形の実験林が存在する,一般,正確,20
positive-accurate-16-japanese-robotic-monster-wolves,正確,日本のある町では、オオカミに偽装したロボットを使って野生動物を農地から追い払った。,一般,正確,20
positive-accurate-17-toyota-city-japan-name,正確,日本の豊田市は、自動車メーカーであるトヨタ自動車にちなんで名付けられた。,一般,正確,20
positive-accurate-18-square-watermelon,正確,日本では四角いスイカが栽培されており、観賞用や贈答用として流通している。,一般,正確,20
positive-accurate-19-ronald-mcdonald-name-japan,正確,ファストフードチェーン・マクドナルドのマスコットキャラクターは日本ではドナルド・マクドナルドの名前で呼ばれているが、英語の原名はロナルド・マクドナルドである。,一般,ほぼ正確,27
positive-accurate-20-photos-japan-orca,正確,北海道知床半島の羅臼沖で白いシャチの写真が撮影された。,一般,正確,20
positive-mostly-accurate-01-ainu-dance-filmed-1919,ほぼ正確,アイヌの踊りが1919年に撮影され、保存されていたカラー映像が2023年に拡散した。,一般,ほぼ正確,32
positive-mostly-accurate-02-real-image-of-jovial-swedish-people-despite-train-station-flooding-caused-by-typhoon,ほぼ正確,イチローは28年のプロ野球選手生活の中でシーズン200安打以上を11回記録した。日本より試合数の多いメージャーリーグであったからこそ、11回もそれをメジャーリーグで記録することができたと考えられる。,一般,ほぼ正確,40
positive-mostly-accurate-03-almost-accurate-claim-iaea-not-verifying-filtration-performance-of-contaminated-water,ほぼ正確,20世紀末に活躍した三大テノールとは、ルチアーノ・パヴァロッティ、プラシド・ドミンゴ、ホセ・カレーライスの3名である。,一般,ほぼ正確,40
positive-mostly-accurate-04-infact200912,ほぼ正確,織田信長は本能寺の変で明智光秀に殺された。,一般,ほぼ正確,28
positive-mostly-accurate-05-infact211023-3,ほぼ正確,天空の城ラピュタはスタジオジブリの初制作アニメ映画であり、1986年9月に公開された。,一般,ほぼ正確,40
positive-mostly-accurate-06-jid211024-1,ほぼ正確,大政奉還で江戸幕府は終焉を迎え、明治時代に移った。,一般,正確,20
positive-mostly-accurate-07-jid211029-01,ほぼ正確,マサチューセッツ州の有権者は、100万ドルを超える所得に対する4％の追加税を承認し、これにより2024年度に15億ドルの歳入が得られた。,金融,不正確,61
positive-mostly-accurate-08-asahi211116-2,ほぼ正確,ギザのピラミッドを建設した古代エジプトの労働者たちは、毎日4～5リットルのビールを配給されていた。,一般,ほぼ正確,29
positive-mostly-accurate-09-infact211217-1,ほぼ正確,玉置浩二は、日本のシンガーソングライター、ロックバンド完全地帯のボーカリストで、北海道旭川市出身である。,一般,ほぼ正確,40
