id,expected_verdict,analysis_text,expected_domain
positive-accurate-01-nhk-broadcasts-200-human-sacrifices,正確,NHKが「集団生贄200人」という歌詞の歌を放映した,一般
positive-accurate-02-why-not-in-the-news-shizuoka-flood-images-are-real,正確,日本人最初のメジャーリーガーは野茂英雄ではない。,一般
positive-accurate-03-aaa-com-article-accurate-koizumi-warns-typhoon,正確,世界最古の企業は日本にある。,一般
positive-accurate-04-wasegg210726-2,正確,日本の研究者らが、歯を再生させる可能性のある薬剤を開発した。,医療
positive-accurate-05-jid211030-2,正確,アベノマスクには全部で500億円ほどの税金が使われた。,医療
positive-accurate-06-wasegg220314-8,正確,ドドドンパ・ジェットコースター、骨折事故発生を受け運行停止,一般
positive-accurate-07-infact220706,正確,十三代目市川團十郎は初代市川團十郎の男系子孫ではない。,一般
positive-accurate-08-jid220707,正確,史上最短の戦争は1時間も続かなかった。,一般
positive-accurate-09-infact220821,正確,クリーブランド・インディアンスは、クリーブランド・ガーディアンズに名称変更した。,一般
positive-accurate-10-wasegg220709-2,正確,パラオは750万ドルの合意に基づき、米国から強制送還された最大75人を受け入れることに同意した。,政治
positive-accurate-11-litmus221003,正確,金星では「1日」が「1年」より長い。,一般
positive-accurate-12-mainichi230505,正確,日本では子供は減っているが、大学は増えている。,政治
positive-accurate-13-litmus230706,正確,住民税非課税世帯の４分の３は高齢者である。,政治
positive-accurate-14-post-23899,正確,大谷翔平は、メジャーリーグ史上初めてシーズン50本塁打50盗塁を達成した。,一般
positive-accurate-15-japan-experimental-forestry,正確,日本には円形の実験林が存在する,一般
positive-accurate-16-japanese-robotic-monster-wolves,正確,日本のある町では、住民からクマとの遭遇や目撃情報が増加しているとの報告を受け、オオカミに偽装したロボット2体を使ってクマを地域から追い払った。,一般
positive-accurate-17-toyota-city-japan-name,正確,日本の豊田市は、自動車メーカーであるトヨタ自動車にちなんで名付けられた。,一般
positive-accurate-18-square-watermelon,正確,日本で作られている四角いスイカは実在し、観賞用や贈答用として栽培されている。,一般
positive-accurate-19-ronald-mcdonald-name-japan,正確,ファストフードチェーン・マクドナルドのマスコットキャラクターは日本ではドナルド・マクドナルドの名前で呼ばれているが、英語の原名はロナルド・マクドナルドである。,一般
positive-accurate-20-photos-japan-orca,正確,北海道沖で白いシャチの写真が撮影された,一般
positive-mostly-accurate-01-ainu-dance-filmed-1919,ほぼ正確,アイヌの踊りが1919年に撮影され、カラー映像で保存されていた。,一般
positive-mostly-accurate-02-real-image-of-jovial-swedish-people-despite-train-station-flooding-caused-by-typhoon,ほぼ正確,国際オリンピック委員会（IOC）は、2020年の東京オリンピック競技大会において、「ブラック・ライブズ・マター」の文字が入った衣服の着用を禁止した。,一般
positive-mostly-accurate-03-almost-accurate-claim-iaea-not-verifying-filtration-performance-of-contaminated-water,ほぼ正確,国際原子力機関（IAEA）、汚染水をろ過する多核種除去設備（ALPS）の性能検証を一度もしていなかった,一般
positive-mostly-accurate-04-infact200912,ほぼ正確,愛知県の大村秀章知事のリコールに賛同した署名者の個人情報は公開される,一般
positive-mostly-accurate-05-infact211023-3,ほぼ正確,ニューヨーク市の新型コロナウイルスによる死亡率は、東京の250倍高い,医療
positive-mostly-accurate-06-jid211024-1,ほぼ正確,スウェーデンは、電力と暖房を生産する廃棄物発電所の燃料となる廃棄物が不足しているため、他国から廃棄物を輸入している。,一般
positive-mostly-accurate-07-jid211029-01,ほぼ正確,マサチューセッツ州の有権者は、100万ドルを超える所得に対する4％の追加税を承認し、これにより15億ドルの歳入が得られた。,金融
positive-mostly-accurate-08-asahi211116-2,ほぼ正確,ギザのピラミッドを建設した古代エジプトの労働者たちは、毎日4～5リットルのビールを配給されていた。,一般
positive-mostly-accurate-09-infact211217-1,ほぼ正確,2021年に米国に報告されたワクチン接種後の心筋炎の報告数が、前年の260倍以上になっている,医療
positive-mostly-accurate-10-infact220704,ほぼ正確,岸田首相の発言「今年の春闘の賃上げ率2.08%は、過去20年で2番目に高い」,金融
positive-mostly-accurate-11-infact220706-2,ほぼ正確,山本太郎代表「安倍さんが総理大臣時代に、消費税増税分の二割程度は社会保障に使ったけど、八割を借金返しに使ったと言った」,金融
positive-mostly-accurate-12-infact220708,ほぼ正確,公明党議員「公示前のタスキは、禁じられています」,一般
positive-mostly-accurate-13-infact220823,ほぼ正確,志位和夫委員長「大学の入学金制度は『世界で日本にしかない』」,一般
positive-mostly-accurate-14-bfj230313,ほぼ正確,WBC中継で「オーストラリアにはカンガルーが5000万頭いる」,金融
positive-mostly-accurate-15-post-22724,ほぼ正確,1月9日、ファウチ博士は米下院特別小委員会で、６フィートの社会的距離のルールは完全にでっち上げであり、科学的根拠はゼロであったことを認めた。,一般
positive-mostly-accurate-16-post-22836,ほぼ正確,WHO(世界保健機関)のテドロス事務局長「WHOは新型コロナウイルスパンデミックの際、誰にも何も強制していない。」,医療
positive-mostly-accurate-17-23435,ほぼ正確,200万と語学力が無いとスイスで安楽死出来ません,医療
positive-mostly-accurate-18-kobe-pension-standardly-nontaxable,ほぼ正確,住民税非課税世帯への給付が繰り返されるが、年金受給者は控除により非課税になりやすく標準的には非課税です。「年金控除＋非課税世帯への給付」の組合せにより、結果として高齢者優遇となり、現役世代との間に著しい不公平が生じています。裁量的なバラマキは止め、一律の支援制度へと改めるべきです,金融
positive-mostly-accurate-19-japanese-electric-car-200km-single-charge,ほぼ正確,日本の自動車メーカーは1949年に、1回の充電で200km走行できる電気自動車を開発した。,一般
positive-mostly-accurate-20-blobfish-natural-environment,ほぼ正確,バイデン政権はマドゥロに2500万ドルの懸賞金をかけた,政治
jfc-hold-01-yokohama-team-mirai-election-fraud-unfounded,判断保留,「横浜市某区の開票立会い人をやってきた チームみらいの票が極めて不自然」「開票立会い人も来てない参政党みたいな活動も何もしてない党が参政党の1.5倍の比例票を取った」「票を目視確認したが、折り目のない票が8割ほど」,一般
jfc-hold-02-baseless-healthworkers-mynahokensho,判断保留,実は医療従事者はマイナ保険証にしない人が大多数だという事実、一般の人はあまりご存知ないでしょうね。私も資格確認証を利用していて、マイナ保険証にする予定はありません,医療
jfc-hold-03-baseless-trump-said-all-hell-break-loose,判断保留,米トランプ大統領が9月1日に「全てが大混乱に陥る」と発言,一般
jfc-hold-04-baseless-jal123-fake-voice-recorder,判断保留,日航123便墜落事故で機長が「被弾したぞ」と発言。ボイスレコーダーに記録あり。,一般
jfc-hold-05-baseless-solar-panels-not-covered-by-fire-insurance,判断保留,日本の科学者たちは、夢を記録し、後で見ることができるように再構成できるMRI装置の開発に成功した。,一般
jfc-hold-06-baseless-ohtani-said-illegal-immigrants-should-leave,判断保留,大谷翔平選手が「不法移民は出ていくべきだ」と発言した,一般
jfc-hold-07-baseless-whale-sardine-beach-earthquake,判断保留,イワシやクジラ、イルカの漂着は地震の前兆もしくは影響,災害
jfc-hold-08-false-claim-korean-massacre-6000-lie,判断保留,関東大震災で朝鮮人6000人虐殺は『100%嘘』,一般
jfc-hold-09-baseless-uniqlo-china-factory-exit,判断保留,人気子ども向けテレビ番組「ポケモン」 のあるエピソードが、日本で600人以上の幼児にてんかん発作を引き起こした。,一般
jfc-hold-10-kanagawa-10000-invalid-votes-fraud-claim,判断保留,"神奈川15区、無効票11025票！？
何これ、異常でしょ",一般
jfc-hold-11-baseless-exposition-pneumonia-class-closure,判断保留,2025年末時点で、NASAは地球の軌道上に一時的に存在する第二の月の存在を確認しており、その月は2083年まで地球の周回軌道上に留まると予測されている。,一般
jfc-hold-12-baseless-trump-said-he-will-save-japanese-citizens,判断保留,米トランプ大統領が「私は日本政府は助けるつもりはないが、日本国民は助けるつもりだ」と発言,一般
jfc-hold-13-baseless_nankai_trough_earthquake_aug14,判断保留,2024年8月14日に南海トラフはおこります,災害
jfc-hold-14-saga-invalid-votes-fraud-claim-unfounded,判断保留,"「もう止まらない、不正選挙疑惑」
10選を果たしていた、 ゆうこく連合・原口一博代表が1000票差で落選した佐賀1区では 「無効票」が5000票以上もあった。 
選挙結果を左右する票数である。
全国各地の小選挙区でも、こうした大量の無効票が発生しているようだ
無効票は本当に「無効票」なのか?",一般
jfc-hold-15-baseless-fanta-orange-1970-additives,判断保留,"1970年代のファンタオレンジ
使われている添加物はたった3つ",医療
jfc-hold-16-no-evidence-a-sign-made-by-chinese-people,判断保留,"中国人が勝手にこんな物を作っている
「コノ先日本国憲法通用セズ」",一般
jfc-hold-17-baseless-koike-google-personal-data,判断保留,TikTokerが日本でスパイダーマンを発見した,一般
jfc-hold-18-mhlw-staff-vaccination-rate-uncertain,判断保留,昨日行われた「新型コロナワクチン接種と死亡事例の因果関係を考える会」で厚生労働省の職員のワクチン接種率が10%と判明。,医療
jfc-hold-19-baseless-xi-jinping-fell-from-chair,判断保留,中国共産党の全体会議の写真に、習近平が突然、痛みに震えて椅子から転げ落ちる様子が写っている。おそらく脳卒中だったのだろう。あるいは、衰弱の発作だったのかもしれない。,一般
jfc-hold-20-baseless-mynaportal-major-cut-in-administrative-costs-for-benefits,判断保留,石破首相「マイナポータルで給付の事務費大幅削減」,一般
jfc-inaccurate-01-politicians-zero-inheritance-tax,不正確,政治家だけ相続税は0円,一般
jfc-inaccurate-02-did-it-take-only-four-months-for-the-takaichi-administration-to-reach-the-mining-stage,不正確,"故石原慎太郎氏が、都知事辞職の記者会見(2012年)で｢南鳥島沖でレアアースを発見したが、通産省がやらせてくれない｣と悔しそうに話されてました。
高市政権発足4ヶ月で一気に採掘まで辿り着けたのを見ていると、いかに日本は中国にペコペコする人たちに長い間邪魔されてきたかということ",金融
jfc-inaccurate-03-japan-is-not-expanding-the-pakistani-intake-to-50thousands,不正確,日本がパキスタン人受け入れを5万人に拡大,一般
jfc-inaccurate-04-inaccurate-kyoto-hotel-prices-collapse,不正確,中国人観光客のキャンセルが相次いでおり、京都市内のホテル代が暴落している,一般
jfc-inaccurate-05-inaccurate-gates-abondons-climate-action,不正確,ビル・ゲイツ氏が気候変動対策から撤退,一般
jfc-inaccurate-06-inaccurate-trump-administration-admits-covid-shots-are-crime-against-humanity,不正確,コロナワクチン接種は、人類に対する犯罪。米国もトランプ政権がその被害を認めている。,医療
jfc-inaccurate-07-inaccurate-favoratism-toward-chinese-students,不正確,中国人留学生は学費がほぼ無料。奨学金毎月１７万円・学費免除・家賃３万円。,一般
jfc-inaccurate-08-inaccurate-foreigners-obtain-the-national-certification-for-care-workers,不正確,"日本人だと試験に不合格だと介護福祉士の国家資格はもちろん取れませんが、外国人だと「不合格でもＯＫ」
特例適用８０００人は外国人が中心。
日本政府は、外国人だけ有利にして日本人が損する措置が大好きだよね。",一般
jfc-inaccurate-09-inaccurate-claim-ministry-of-economy-trade-and-industry-did-not-state-they-did-not-measure-9-nuclides-other-than-tritium,不正確,"トリチウム以外の核種も最低「9種類」あるけど、 トリチウム以外は測ってもいません! という驚愕の答弁!
そんなの「汚染水」以外の何ものでもないやろ・・・
#川内ひろし(立憲民主党/鹿児島1区)",一般
jfc-inaccurate-10-inaccurate-kurdish-group-tv-report,不正確,日本では、国民が太っていることを違法とする法律がある,一般
jfc-inaccurate-11-inaccurate-volunteer-recruitment-n-noto-peninsula-earthquake,不正確,震災から３ヶ月たったが現在ボランティアは殆どいない状況。募集をしていない、しても来ない、それは寝泊まりする場所も水も食料もないからです。,災害
jfc-inaccurate-12-matsumoto-chief-cabinet-secretary-great-kanto-earthquake-korean-massacre-records-inaccurate,不正確,2023年8月30日、松野官房長官は記者会見で、関東大震災当時の朝鮮人虐殺について「政府内において事実関係を把握することのできる記録は見当たらない」と2回発言した。,一般
jfc-inaccurate-13-ohio-train-derailment-disaster-hidden-reporter-arrested-false,不正確,"🇹🇷トルコ地震により発信を控えてました、今更ですが…
🇺🇸オハイオ州で50両編成の列車が脱線し数千ガロンの発がん性塩化ビニルが流出されました。
何かやばそうです。
脱線事故を報道した記者が逮捕されているらしい…
米国史上最悪の災害の一つ~半径10マイルに有毒ガス⚠️
これを隠したかった？🛸👽🐸",一般
jfc-inaccurate-14-inaccurate-video-of-transgender-martial-artist-breaking-opponents-skull,不正確,【トランスジェンダーの末路】トランスジェンダーの格闘家ファロン・フォックスが39秒で相手を倒し、頭蓋骨を骨折させる。以前はこれを女性に対する暴力と呼んでいましたが、今ではトランスの権利として祝福されています。,一般
jfc-inaccurate-15-inaccurate-claims-about-drone-delivery,不正確,ドローン配送の普及が進まないのは鳥に襲われるから,一般
jfc-inaccurate-16-inaccuracies-in-keio-baseball-cheering,不正確,"応援をすると「単位をもらえる」学部も
さらに大空さんは「けっこうこの勝利には理由があるなと。応援が、すごかったじゃないですか?」と、知る人ぞ知る裏事情にも言及。
自身の学生時代を振り返り、「僕みたいなタイプは、絶対に野球の応援なんか行かない、と思ってたわけです。大学の入学までは」「ただ僕は早慶戦を何回も応援したことがあるんです。なぜかというと、応援に行くことによって、私の学部は単位をもらえるわけですよ」と舞台裏を打ち明け、谷原さんは「えー」と驚きの表情を浮かべていました。",一般
jfc-inaccurate-17-japan-iran-visa-indefinite-extension,不正確,日本政府がイラン国民のビザを無期限に延長するんだって。リプで海外の人から日本政府ボロクソに言われてるじゃねーか,一般
jfc-inaccurate-18-ion-stores-atm-credit-card-inaccessibility-inaccurate,不正確,"世界規模で銀行がストップしてます,日本でもイオンがこれからATM,クレジットカードが使えなくなると店員さんが説明してる,遂に来たね,10月3日から引き落としが止まる確か15日迄と聞いてます",金融
jfc-inaccurate-19-factcheck-us-department-of-state-officially-declared-islam-a-threat,不正確,アメリカ国務省が公式にイスラム教は”脅威”であると宣言しました,一般
jfc-inaccurate-20-inaccurate-9000yen-to-a-muslims-school-lunch,不正確,東京都がムスリムの園児1人につき毎月9000円を給食のために支給している,一般
jfc-false-01-trump-im-the-last-to-use-nukes,誤り,トランプ氏が、現在の中東情勢を受けて「私は核兵器を使う最後の人間になるだろう」と発言した。,一般
jfc-false-02-did-noda-yoshihiko-said-spy-prevention-law-would-violate-spies-human-rights,誤り,野田佳彦氏が「スパイ防止法はスパイの人権を侵害してしまう」と発言した。,一般
jfc-false-03-chemtrail-government-airborne-dispersion-harmful-substances-false,誤り,飛行機雲は、政府などが危険な化学物質を散布している「ケムトレイル」である。,一般
jfc-false-04-japans-inflation-rate-is-not-the-highest,誤り,日本のインフレ率は世界で最も高い。,金融
jfc-false-05-japan-does-not-have-any-anti-islamic-legislation,誤り,日本はモスク建設やブルカの着用などを禁じる反イスラム法を制定した。,一般
jfc-false-06-pfizer-didnt-admit-covid-jab-causes-cancer,誤り,ファイザー社は新型コロナワクチンで大腸がんになると認めた。,医療
jfc-false-07-false-aomori-earthquake-artificial,誤り,2025年12月8日に青森県東方沖で起きた地震は人工地震である。,災害
jfc-false-08-kawaguchi-arrest-foreign-national-ratio,誤り,川口市の検挙人数178人のうち外国籍は135人で約76%を占め、検挙された人の約4人に3人が外国籍である。,一般
jfc-false-09-false-dog-elevator-ai-video,誤り,子どもが犬とエレベーターに乗ろうとしたが犬が嫌がって見送り、その直後にエレベーターが落下して命が助かった。,一般
jfc-false-10-false-lee-jaemyung-setagaya-comment,誤り,世田谷区で韓国籍女性が殺害された事件について、韓国の李在明大統領が「日本は謝罪と賠償をするべきだ」と発言した。,一般
jfc-false-11-false-hometown-africa-nagai-visa,誤り,"日本政府に問いたい。
「日本は、山形県長井市をタンザニアに与える」「外務省は、長井市ほか3つの市をアフリカ人に与えることを提案」
日本国民に黙って一体何をしたんだ？
国民の怒りを知れ。",一般
jfc-false-12-false-celebrity-death-hoaxes-youtube,誤り,浜崎あゆみ氏やビートたけし氏、友近氏などの著名人が亡くなった。,一般
jfc-false-13-false-koizumi-radiated-soil-video,誤り,小泉総理で日本は滅ぶ。放射能汚染土を日本中にばら撒いた小泉農水大臣の罪を暴く。,一般
jfc-false-14-false-asahi-ceremony-flags,誤り,朝日新聞の入社式では、社旗の脇に韓国と中国の国旗を並べ、ハングル文字を掲げていた。,一般
jfc-false-15-false-100k-demo-osaka-yoon,誤り,大阪、10万人のデモ隊が韓国の尹錫悦大統領の罷免と拘束、日本と断交し北朝鮮やロシアと国交回復を要求,一般
jfc-false-16-false-minimum-access-rice-harmful,誤り,【悲報】小泉進次郎さん、91万tあった家畜米の「ななひかり」が残り30万tまで減ってしまい、完全に底をついた場合にはミニマムアクセス米という、除草剤(例：グリホサート、パラコート）、殺虫剤(例：ネオニコチノイド系、有機リン系)等の農薬が頻繁に使われていて、発がん性、内分泌かく乱作用、生殖能力への影響などの懸念があり、生態系への影響も指摘されているアメリカ産米を活用すると宣言してしまう。,一般
