id,title,site_name,source_url,purpose,analysis_text,expected_verdict,expected_domain,reference_urls,snapshot_has_author,snapshot_has_published_at,snapshot_reference_link_count,snapshot_extraction_score
positive-accurate-01-nhk-broadcasts-200-human-sacrifices,（動画）NHKが「集団生贄200人」という歌詞の歌を放映した？,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/culture/nhk-broadcasts-200-human-sacrifices/,日本ファクトチェックセンターの公開ファクトチェック記事を基にした実在ネット記事ケース,NHKが「集団生贄200人」という歌詞の歌を放映した,正確,一般,https://www.factcheckcenter.jp/fact-check/culture/nhk-broadcasts-200-human-sacrifices/,True,True,1,82
positive-accurate-02-why-not-in-the-news-shizuoka-flood-images-are-real,なぜニュースにならないの？ 静岡県内の水害画像は本物,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/disasters/why-not-in-the-news-shizuoka-flood-images-are-real/,日本ファクトチェックセンターの公開ファクトチェック記事を基にした実在ネット記事ケース,2022年9月25日に「なぜニュースにならないの？」という文とともに投稿された3枚の画像は、静岡市南部・巴川の氾濫による被害を写した写真である。,正確,災害,https://www.factcheckcenter.jp/fact-check/disasters/why-not-in-the-news-shizuoka-flood-images-are-real/,True,True,1,82
positive-accurate-03-aaa-com-article-accurate-koizumi-warns-typhoon,小泉進次郎氏が台風10号の注意喚起をする動画はAI加工？ 公式が投稿,日本ファクトチェックセンター,https://www.factcheckcenter.jp/fact-check/politics/aaa-com-article-accurate-koizumi-warns-typhoon/,日本ファクトチェックセンターの公開ファクトチェック記事を基にした実在ネット記事ケース,自民党の小泉進次郎氏が台風10号への注意を呼びかける動画は、公式アカウントで配信された本人の発言である。,正確,災害,https://www.factcheckcenter.jp/fact-check/politics/aaa-com-article-accurate-koizumi-warns-typhoon/,True,True,1,82
positive-accurate-04-wasegg210726-2,日本の研究者は新しい歯を生やす治療法を開発している,Snopes,https://www.snopes.com/fact-check/japanese-researchers-new-teeth/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,日本の研究者らが、歯を再生させる可能性のある薬剤を開発した。,正確,医療,https://www.snopes.com/fact-check/japanese-researchers-new-teeth/,True,True,1,82
positive-accurate-05-jid211030-2,社民党福島みずほ党首の発言「（アベノマスクに）500億円ほど税金を使っている」は“正確”,Japan In-depth,https://japan-indepth.jp/?p=62738,FactCheck Navi が集約した Japan In-depth の公開ファクトチェック記事を基にした実在ネット記事ケース,"アベノマスクをずっと追及してきましたが、全部で500億円ほど税金を使っています。アベノマスクは介護現場では使えないと散々言われました。115億円分余剰とは全くの無駄遣いです。
政府配布の布マスク、8200万枚・115億円分余剰　検査院: 日本経済新聞",正確,医療,https://japan-indepth.jp/?p=62738 | https://navi.fij.info/factcheck_navi/jid211030-2/,True,True,2,80
positive-accurate-06-wasegg220314-8,日本のジェットコースター『ド・ドドンパ』は1.56秒で時速112マイルに達した,Snopes,https://www.snopes.com/fact-check/do-dodonpa-roller-coaster/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,ド・ドドンパ・ジェットコースターは骨折事故発生を受け、営業を終了した。,正確,一般,https://www.snopes.com/fact-check/do-dodonpa-roller-coaster/,True,True,1,82
positive-accurate-07-infact220706,志位和夫委員長「今度の参議院選挙でも、一人区の大体半分で野党候補ひとりになってます」は「正確」【InFact】 （2022.7.6）,InFact,https://infact.press/2022/07/post-20327/,FactCheck Navi が集約した InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,志位和夫委員長「今度の参議院選挙でも、一人区の大体半分で野党候補ひとりになってます」,正確,一般,https://infact.press/2022/07/post-20327/ | https://navi.fij.info/factcheck_navi/infact220706/,True,True,2,80
positive-accurate-08-jid220707,共同通信「G7、インフラ投資81兆円」→正確【Japan In-depth】 （2022.7.7）,Japan In-depth,https://japan-indepth.jp/?p=67793,FactCheck Navi が集約した Japan In-depth の公開ファクトチェック記事を基にした実在ネット記事ケース,G7が日本円で81兆円に相当する6千億ドルを、途上国のインフラ投資に回す,正確,金融,https://japan-indepth.jp/?p=67793 | https://navi.fij.info/factcheck_navi/jid220707/,True,True,2,80
positive-accurate-09-infact220821,小麦価格の即時引き下げは可能なのか？立憲民主党の泉代表の発言を検証【InFact】 （2022.8.21）,InFact,https://infact.press/2022/08/post-20507/,FactCheck Navi が集約した InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,価格改定の法的根拠となる「主要食料の需給及び価格の安定に関する法律」42条は、価格の上限は定めているものの、改定時期を限定していない。,正確,金融,https://infact.press/2022/08/post-20507/ | https://navi.fij.info/factcheck_navi/infact220821/,True,True,2,80
positive-accurate-10-wasegg220709-2,パラオは米国から送られる一部移民の受け入れ合意に署名した,Snopes,https://www.snopes.com/fact-check/palau-us-migrants-deal/,Snopes の公開ファクトチェック記事を基にした、日本関連の実在ネット記事ケース,パラオは750万ドルの合意に基づき、米国から強制送還された最大75人を受け入れることに同意した。,正確,政治,https://www.snopes.com/fact-check/palau-us-migrants-deal/,True,True,1,82
positive-accurate-11-litmus221003,「高額医療費負担廃止検討」は正確だが誤解に注意 利用者へ返金の「高額療養費制度」とは別制度【リトマス】 （2022.10.3）,リトマス,https://litmus-factcheck.jp/2022/10/977/,FactCheck Navi が集約した リトマス の公開ファクトチェック記事を基にした実在ネット記事ケース,国民健康保険の一部を国が負担する「高額医療費負担」を廃止し、都道府県の負担とすることを財務省が検討している,正確,医療,https://litmus-factcheck.jp/2022/10/977/ | https://navi.fij.info/factcheck_navi/litmus221003/,True,True,2,80
positive-accurate-12-mainichi230505,〖衆院選26FactCheck〗参政党・神谷代表「大学は増えている」は本当か？,InFact,https://infact.press/2026/02/post-26458/,InFact の公開ファクトチェック記事を基にした実在ネット記事ケース,参政党・神谷代表「大学は増えている」,正確,政治,https://infact.press/2026/02/post-26458/,True,True,1,80
