id,field,excel_value,json_value
positive-accurate-01-nhk-broadcasts-200-human-sacrifices,analysis_text,NHKが「いけにえたくさん見届けてきたよ しゅうだんいけにえ200人！」という歌詞の映像を放送したという動画が拡散し、NHKの映像かどうかを疑う声が広がりましたが、正確です。2023年7月18日に放映された「まやまやぽん！」という番組の体操の一部です。,NHKが「いけにえたくさん見届けてきたよ しゅうだんいけにえ200人！」という歌詞の映像を放送した動画が拡散した。映像は2023年7月18日に放映された「まやまやぽん！」の体操の一部で、NHKの番組映像である。
positive-accurate-04-wasegg210726-2,analysis_text,入国者に一定の規制はあるものの、当時の14日間の自宅等待機は個々人の判断や裁量に委ねられており、「事実上14日間の隔離はない」という主張は正確とされた。,入国者に一定の規制はあるものの、当時の14日間の自宅等待機は個々人の判断や裁量に委ねられていた。
positive-accurate-10-wasegg220709-2,analysis_text,当時の主要国比較では、日本の物価上昇率は2.5%前後で、他国より抑えられていた。政府の物価対策が原因かどうかは別として、「日本の物価上昇率は他国より抑えられている」という部分は正確と扱われた。,当時の主要国比較では、日本の物価上昇率は2.5%前後で、他国より抑えられていた。
positive-accurate-14-post-23899,analysis_text,河野太郎氏は、当時のCDC発表に基づき「アメリカでは2億回ワクチンを接種して亡くなった人はいない」と述べた。CDCへの確認などを踏まえ、InFact はこの主張を正確と判断した。,河野太郎氏は、当時のCDC発表に基づき「アメリカでは2億回ワクチンを接種して亡くなった人はいない」と述べた。CDCへの確認でも、その時点でワクチン接種による死亡が確認されたとはされていなかった。
positive-accurate-15-japan-experimental-forestry,analysis_text,日本で山を円形に区切った実験林の写真が拡散した。これは樹木の密度が成長に与える影響を測るため実際に整備された試験区画で、Snopes は True と判定した。,日本で山を円形に区切った実験林の写真が拡散した。これは樹木の密度が成長に与える影響を測るため実際に整備された試験区画である。
positive-accurate-16-japanese-robotic-monster-wolves,analysis_text,日本の町がクマよけにロボットの「モンスターウルフ」を導入したという話題は事実で、Snopes は True とした。北海道などで導入例があり、音や光で野生動物を追い払う装置として実在する。,日本の町がクマよけにロボットの「モンスターウルフ」を導入した。北海道などで導入例があり、音や光で野生動物を追い払う装置として実在する。
positive-accurate-17-toyota-city-japan-name,analysis_text,愛知県の豊田市は、自動車メーカーの発展に合わせて旧挙母市から改称した経緯があり、Snopes は True と判定した。,愛知県の豊田市は、自動車メーカーの発展に合わせて旧挙母市から改称した。
positive-accurate-18-square-watermelon,analysis_text,日本で作られている四角いスイカの写真は本物で、観賞用や贈答用として実際に栽培されている。Snopes は True とした。,日本で作られている四角いスイカは実在し、観賞用や贈答用として栽培されている。
positive-accurate-19-ronald-mcdonald-name-japan,analysis_text,日本では Ronald McDonald を「ドナルド・マクドナルド」と呼ぶのが一般的で、Snopes は True と判定した。発音上の理由から Ronald ではなく Donald 表記が定着している。,日本では Ronald McDonald を「ドナルド・マクドナルド」と呼ぶのが一般的で、発音上の理由から Ronald ではなく Donald 表記が定着している。
positive-accurate-20-photos-japan-orca,analysis_text,北海道沖で撮影された白いシャチの写真が拡散した。撮影者の証言や投稿履歴から実際の個体を写した写真だと確認され、Snopes は True と判定した。,北海道沖で撮影された白いシャチの写真が拡散した。撮影者の証言や投稿履歴から、実際の個体を写した写真である。
positive-mostly-accurate-01-ainu-dance-filmed-1919,analysis_text,「1919年に撮影された本物のアイヌの踊り」というカラーの動画が拡散し、本物の映像かどうかを疑う声がありましたが、ほぼ正確です。「オーストラリア国立フィルム＆サウンド・アーカイブ」に保管されている映像の一部で、オリジナル版は白黒です。,「1919年に撮影された本物のアイヌの踊り」というカラー動画が拡散した。映像はアーカイブ保管資料に基づく実写映像だが、オリジナル版は白黒で、拡散版のカラー化には補足が必要である。
positive-mostly-accurate-03-almost-accurate-claim-iaea-not-verifying-filtration-performance-of-contaminated-water,analysis_text,福島第一原発からの処理水の海洋放出をめぐり、「国際原子力機関（IAEA）が汚染水を処理する多核種除去設備（ALPS）の性能を検証していない」という言説が拡散しました。IAEA自体は、直接ALPSの性能を検証していないので、この言説はほぼ正確ですが、処理水の環境への影響は調査しています。,福島第一原発の処理水海洋放出をめぐり、「国際原子力機関（IAEA）が多核種除去設備（ALPS）の性能を検証していない」という言説が拡散した。IAEAはALPSそのものを直接検証したわけではないが、処理水放出の安全性や環境影響については調査している。
positive-mostly-accurate-18-kobe-pension-standardly-nontaxable,analysis_text,神戸市議のX投稿で、年金受給者は標準的に非課税だという言説が拡散した。神戸市内の年金受給者では非課税者が多数派だが、課税者も一定数おり、「標準的」という表現には条件差を包み込む曖昧さがあるため、言説はほぼ正確と判断された。,神戸市議のX投稿で、年金受給者は標準的に非課税だという言説が拡散した。神戸市内の年金受給者では非課税者が多数派だが、課税者も一定数おり、「標準的」という表現には条件差を包み込む曖昧さがある。
positive-mostly-accurate-19-japanese-electric-car-200km-single-charge,analysis_text,戦後の日本で開発された電気自動車「たま電気自動車」は、条件付きながら1回の充電でおよそ200キロ走行したとされる。細部に補足は必要だが大筋は事実として、Snopes は Mostly True とした。,戦後の日本で開発された電気自動車「たま電気自動車」は、条件付きながら1回の充電でおよそ200キロ走行したとされる。
positive-mostly-accurate-20-blobfish-natural-environment,analysis_text,深海にいるブロブフィッシュは、水圧の高い自然環境では水揚げ後とはかなり異なる姿に見える。日本の水族館で紹介された近い見た目の写真も踏まえ、Snopes は Mostly True と判定した。,深海にいるブロブフィッシュは、水圧の高い自然環境では水揚げ後とはかなり異なる姿に見える。
