id,expected_verdict,expected_domain,claim_text,review_focus,human_note,contested_span
positive-accurate-01-nhk-broadcasts-200-human-sacrifices,正確,一般,NHKが「集団生贄200人」という歌詞の歌を放映した,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,NHKが「集団生贄200人」という歌詞の歌を放映した
positive-accurate-02-why-not-in-the-news-shizuoka-flood-images-are-real,正確,一般,日本人最初のメジャーリーガーは野茂英雄ではない。,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,日本人最初のメジャーリーガーは野茂英雄ではない。
positive-accurate-03-aaa-com-article-accurate-koizumi-warns-typhoon,正確,一般,世界最古の企業は日本にある。,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,世界最古の企業は日本にある。
positive-accurate-04-wasegg210726-2,正確,医療,日本の研究者らが、歯を再生させる可能性のある薬剤を開発した。,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,日本の研究者らが、歯を再生させる可能性のある薬剤を開発した。
positive-accurate-05-jid211030-2,正確,医療,アベノマスクには全部で500億円ほどの税金が使われた。,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,アベノマスクには全部で500億円ほどの税金が使われた。
positive-accurate-06-wasegg220314-8,正確,一般,ドドドンパ・ジェットコースター、骨折事故発生を受け運行停止,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,ドドドンパ・ジェットコースター、骨折事故発生を受け運行停止
positive-accurate-07-infact220706,正確,一般,十三代目市川團十郎は初代市川團十郎の男系子孫ではない。,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,十三代目市川團十郎は初代市川團十郎の男系子孫ではない。
positive-accurate-08-jid220707,正確,一般,史上最短の戦争は1時間も続かなかった。,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,史上最短の戦争は1時間も続かなかった。
positive-accurate-09-infact220821,正確,一般,クリーブランド・インディアンスは、クリーブランド・ガーディアンズに名称変更した。,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,クリーブランド・インディアンスは、クリーブランド・ガーディアンズに名称変更した。
positive-accurate-10-wasegg220709-2,正確,政治,パラオは750万ドルの合意に基づき、米国から強制送還された最大75人を受け入れることに同意した。,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,パラオは750万ドルの合意に基づき、米国から強制送還された最大75人を受け入れることに同意した。
positive-accurate-11-litmus221003,正確,一般,金星では「1日」が「1年」より長い。,主張全体が公開情報と素直に整合するかを確認する。,短文claim評価用に、確認したい主張の要点だけを残したケースです。,金星では「1日」が「1年」より長い。
